Lenght Selection Bubble Insertion Quick
540 146070 145530 70519 5604
540 146070 145530 73997 5111
540 146070 145530 68152 5080
540 146070 145530 71001 5425
540 146070 145530 68375 5052
540 146070 145530 73759 5059
540 146070 145530 73929 5383
540 146070 145530 71823 5487
540 146070 145530 73309 5663
540 146070 145530 71275 5485
540 146070 145530 74160 5631
540 146070 145530 74646 5354
540 146070 145530 71808 5837
540 146070 145530 75296 5112
550 151525 150975 73603 5218
550 151525 150975 72882 5323
550 151525 150975 76506 5422
550 151525 150975 75138 5917
550 151525 150975 73591 5444
550 151525 150975 76818 5106
550 151525 150975 75613 5335
550 151525 150975 78141 5413
550 151525 150975 76516 5340
550 151525 150975 76636 5673
550 151525 150975 76064 5450
550 151525 150975 73435 4740
550 151525 150975 74070 5295
550 151525 150975 73536 5362
550 151525 150975 74661 5653
560 157080 156520 79011 5499
560 157080 156520 77906 5441
560 157080 156520 78414 5790
560 157080 156520 74791 5489
560 157080 156520 79707 5506
560 157080 156520 78046 6231
560 157080 156520 78796 5748
560 157080 156520 80159 6043
560 157080 156520 78641 5892
560 157080 156520 75275 5834
560 157080 156520 80156 5211
560 157080 156520 78955 5701
560 157080 156520 79624 5833
560 157080 156520 74058 5381
560 157080 156520 81077 6045
570 162735 162165 81280 5704
570 162735 162165 79435 5859
570 162735 162165 81112 5447
570 162735 162165 80733 5323
570 162735 162165 85119 5896
570 162735 162165 80716 5676
570 162735 162165 78408 5889
570 162735 162165 79125 5005
570 162735 162165 77035 5498
570 162735 162165 81836 5825
570 162735 162165 81616 5223
570 162735 162165 84379 6755
570 162735 162165 80892 6043
570 162735 162165 79142 5348
570 162735 162165 78812 5091
580 168490 167910 83952 5789
580 168490 167910 82392 5572
580 168490 167910 81333 5995
580 168490 167910 83874 5996
580 168490 167910 85563 5549
580 168490 167910 82848 5617
580 168490 167910 82172 6252
580 168490 167910 83760 5570
580 168490 167910 86547 5586
580 168490 167910 83140 5417
580 168490 167910 77536 5303
580 168490 167910 84917 5320
580 168490 167910 80139 5768
580 168490 167910 87430 6566
580 168490 167910 82468 5151
590 174345 173755 89453 5316
590 174345 173755 84577 6012
590 174345 173755 87332 6213
590 174345 173755 88796 5552
590 174345 173755 86136 5997
590 174345 173755 86436 5321
590 174345 173755 87595 5434
590 174345 173755 89305 5666
590 174345 173755 90350 5721
590 174345 173755 84972 5950
590 174345 173755 87310 6269
590 174345 173755 85901 5305
590 174345 173755 87950 6465
590 174345 173755 86795 5869
590 174345 173755 86258 5301
600 180300 179700 90219 6004
600 180300 179700 86897 6038
600 180300 179700 86526 5926
600 180300 179700 91478 5694
600 180300 179700 86673 6611
600 180300 179700 90207 6297
600 180300 179700 90166 5610
600 180300 179700 85249 5755
600 180300 179700 92247 5587
600 180300 179700 92809 5809
600 180300 179700 89485 5835
600 180300 179700 91325 5874
600 180300 179700 89005 5753
600 180300 179700 90404 5942
600 180300 179700 88465 5671
610 186355 185745 91887 6891
610 186355 185745 90020 5877
610 186355 185745 92172 6227
610 186355 185745 93382 5888
610 186355 185745 93695 5561
610 186355 185745 92507 6051
610 186355 185745 89573 5850
610 186355 185745 92585 6935
610 186355 185745 95741 5864
610 186355 185745 93564 6814
610 186355 185745 91409 6069
610 186355 185745 91106 5473
610 186355 185745 96405 5817
610 186355 185745 95756 5853
610 186355 185745 93600 6328
620 192510 191890 93025 7091
620 192510 191890 96149 6669
620 192510 191890 96496 6462
620 192510 191890 95424 6322
620 192510 191890 94624 6163
620 192510 191890 100004 6329
620 192510 191890 98300 6456
620 192510 191890 93402 6243
620 192510 191890 97678 5942
620 192510 191890 93107 6706
620 192510 191890 99180 5482
620 192510 191890 95288 6758
620 192510 191890 95006 6121
620 192510 191890 96636 5610
620 192510 191890 99286 6073
630 198765 198135 103597 5821
630 198765 198135 100713 5981
630 198765 198135 99750 6573
630 198765 198135 96133 5772
630 198765 198135 101297 6255
630 198765 198135 96334 6697
630 198765 198135 95457 6302
630 198765 198135 97077 6855
630 198765 198135 97060 6060
630 198765 198135 102843 6187
630 198765 198135 99923 6841
630 198765 198135 100583 7724
630 198765 198135 101437 6202
630 198765 198135 102501 6243
630 198765 198135 100376 6509
640 205120 204480 104118 8198
640 205120 204480 103195 6125
640 205120 204480 105856 6613
640 205120 204480 101191 6186
640 205120 204480 100610 6944
640 205120 204480 101177 5939
640 205120 204480 102447 6312
640 205120 204480 100598 6690
640 205120 204480 97553 6111
640 205120 204480 103208 5916
640 205120 204480 101376 6324
640 205120 204480 104796 7650
640 205120 204480 102074 6591
640 205120 204480 105462 6787
640 205120 204480 101643 6694
650 211575 210925 107221 6658
650 211575 210925 103670 6508
650 211575 210925 105188 6620
650 211575 210925 100437 6242
650 211575 210925 102522 7204
650 211575 210925 106503 6716
650 211575 210925 104426 7027
650 211575 210925 108652 6918
650 211575 210925 102563 6949
650 211575 210925 105071 6555
650 211575 210925 106882 6986
650 211575 210925 104026 6663
650 211575 210925 106997 6555
650 211575 210925 99643 6446
650 211575 210925 104050 8218
660 218130 217470 107095 6410
660 218130 217470 107369 7483
660 218130 217470 108906 6182
660 218130 217470 111345 6707
660 218130 217470 105844 6681
660 218130 217470 107511 7022
660 218130 217470 113472 7431
660 218130 217470 104893 7097
660 218130 217470 105129 6457
660 218130 217470 104169 6420
660 218130 217470 113376 6624
660 218130 217470 108401 6899
660 218130 217470 112977 6862
660 218130 217470 113396 6863
660 218130 217470 104964 6349
670 224785 224115 115363 6876
670 224785 224115 113053 6977
670 224785 224115 112492 6645
670 224785 224115 112583 6873
670 224785 224115 110368 7232
670 224785 224115 111329 6950
670 224785 224115 117293 7413
670 224785 224115 110239 7842
670 224785 224115 114222 6954
670 224785 224115 113611 7121
670 224785 224115 110880 6511
670 224785 224115 113061 6748
670 224785 224115 110352 8315
670 224785 224115 115068 6795
670 224785 224115 110508 7301
680 231540 230860 113070 6814
680 231540 230860 115812 6724
680 231540 230860 111644 6752
680 231540 230860 110474 6550
680 231540 230860 108411 6827
680 231540 230860 116546 6531
680 231540 230860 117965 6441
680 231540 230860 123057 6740
680 231540 230860 118361 7424
680 231540 230860 117815 7091
680 231540 230860 113387 6267
680 231540 230860 112080 6364
680 231540 230860 115031 6388
680 231540 230860 114301 6632
680 231540 230860 116062 6862
690 238395 237705 121269 6515
690 238395 237705 119134 7194
